stimulus,condition,raw_score
315,Financial Advisor,63.0
317,Financial Advisor,69.0
31,Financial Advisor,71.08333333333333
323,Financial Advisor,63.083333333333336
324,Financial Advisor,68.33333333333333
332,Financial Advisor,83.91666666666667
339,Financial Advisor,70.5
341,Financial Advisor,45.666666666666664
346,Financial Advisor,66.16666666666667
350,Financial Advisor,35.916666666666664
360,Financial Advisor,79.08333333333333
363,Financial Advisor,74.83333333333333
370,Financial Advisor,47.166666666666664
376,Financial Advisor,68.83333333333333
398,Financial Advisor,70.16666666666667
409,Financial Advisor,48.25
410,Financial Advisor,63.083333333333336
416,Financial Advisor,73.33333333333333
42,Financial Advisor,71.5
441,Financial Advisor,0.5833333333333334
44,Financial Advisor,40.0
454,Financial Advisor,70.5
455,Financial Advisor,57.666666666666664
461,Financial Advisor,58.833333333333336
462,Financial Advisor,71.91666666666667
464,Financial Advisor,77.25
471,Financial Advisor,58.833333333333336
475,Financial Advisor,63.666666666666664
484,Financial Advisor,64.91666666666667
491,Financial Advisor,69.25
506,Financial Advisor,64.58333333333333
517,Financial Advisor,46.416666666666664
518,Financial Advisor,49.666666666666664
51,Financial Advisor,69.91666666666667
529,Financial Advisor,53.916666666666664
537,Financial Advisor,67.91666666666667
540,Financial Advisor,65.33333333333333
542,Financial Advisor,54.083333333333336
547,Financial Advisor,64.08333333333333
549,Financial Advisor,65.91666666666667
553,Financial Advisor,67.5
554,Financial Advisor,36.166666666666664
55,Financial Advisor,46.416666666666664
580,Financial Advisor,62.25
585,Financial Advisor,56.833333333333336
599,Financial Advisor,58.583333333333336
600,Financial Advisor,53.416666666666664
609,Financial Advisor,73.08333333333333
613,Financial Advisor,35.5
616,Financial Advisor,52.333333333333336
621,Financial Advisor,57.333333333333336
625,Financial Advisor,68.75
634,Financial Advisor,64.16666666666667
641,Financial Advisor,68.0
646,Financial Advisor,41.083333333333336
650,Financial Advisor,66.08333333333333
658,Financial Advisor,62.333333333333336
66,Financial Advisor,63.916666666666664
671,Financial Advisor,53.583333333333336
679,Financial Advisor,52.5
693,Financial Advisor,66.58333333333333
706,Financial Advisor,71.16666666666667
711,Financial Advisor,66.08333333333333
718,Financial Advisor,65.5
738,Financial Advisor,49.5
753,Financial Advisor,57.916666666666664
755,Financial Advisor,33.75
75,Financial Advisor,56.416666666666664
762,Financial Advisor,44.333333333333336
766,Financial Advisor,67.41666666666667
77,Financial Advisor,69.58333333333333
783,Financial Advisor,44.75
789,Financial Advisor,66.91666666666667
810,Financial Advisor,58.0
814,Financial Advisor,62.25
817,Financial Advisor,75.25
822,Financial Advisor,76.16666666666667
824,Financial Advisor,71.5
832,Financial Advisor,45.166666666666664
83,Financial Advisor,56.166666666666664
846,Financial Advisor,48.333333333333336
853,Financial Advisor,63.416666666666664
855,Financial Advisor,67.41666666666667
875,Financial Advisor,8.166666666666666
880,Financial Advisor,73.33333333333333
892,Financial Advisor,79.16666666666667
8,Financial Advisor,56.5
89,Financial Advisor,60.25
899,Financial Advisor,45.666666666666664
908,Financial Advisor,44.833333333333336
921,Financial Advisor,61.333333333333336
923,Financial Advisor,51.75
932,Financial Advisor,57.0
946,Financial Advisor,71.91666666666667
957,Financial Advisor,51.666666666666664
960,Financial Advisor,63.0
969,Financial Advisor,80.08333333333333
978,Financial Advisor,75.66666666666667
981,Financial Advisor,66.58333333333333
983,Financial Advisor,65.75
985,Financial Advisor,53.666666666666664
987,Financial Advisor,36.666666666666664
98,Financial Advisor,66.5
990,Financial Advisor,70.5
1002,Financial Advisor,43.588235294117645
100,Financial Advisor,40.705882352941174
116,Financial Advisor,71.29411764705883
136,Financial Advisor,39.529411764705884
137,Financial Advisor,73.5
147,Financial Advisor,59.733333333333334
149,Financial Advisor,40.88235294117647
154,Financial Advisor,54.11764705882353
16,Financial Advisor,38.625
179,Financial Advisor,37.588235294117645
180,Financial Advisor,57.1764705882353
188,Financial Advisor,63.705882352941174
189,Financial Advisor,66.6875
200,Financial Advisor,66.11764705882354
201,Financial Advisor,57.529411764705884
204,Financial Advisor,51.4375
208,Financial Advisor,53.0
211,Financial Advisor,54.88235294117647
224,Financial Advisor,62.13333333333333
232,Financial Advisor,72.88235294117646
233,Financial Advisor,64.94117647058823
253,Financial Advisor,56.5
255,Financial Advisor,26.6
25,Financial Advisor,38.76470588235294
259,Financial Advisor,51.05882352941177
264,Financial Advisor,60.705882352941174
267,Financial Advisor,46.23529411764706
26,Financial Advisor,62.625
274,Financial Advisor,33.705882352941174
296,Financial Advisor,56.375
2,Financial Advisor,65.8
307,Financial Advisor,44.88235294117647
308,Financial Advisor,40.94117647058823
313,Financial Advisor,56.64705882352941
334,Financial Advisor,63.5
33,Financial Advisor,43.4375
354,Financial Advisor,46.76470588235294
379,Financial Advisor,44.4375
386,Financial Advisor,62.625
38,Financial Advisor,56.1875
395,Financial Advisor,37.23529411764706
3,Financial Advisor,43.6875
401,Financial Advisor,37.11764705882353
403,Financial Advisor,49.0
407,Financial Advisor,62.35294117647059
421,Financial Advisor,52.11764705882353
423,Financial Advisor,65.4
